Topic,Count,Business_Name,Top_Words
5,148,Flight Delays & Punctuality,hour delay london staff time arrive heathrow miss
2,134,Flight Cancellations,cancel customer book day service customer service refund tell
0,96,Seat Comfort & Legroom,service food seat staff class poor london time
3,71,Seat Comfort & Legroom,seat class business business class pay service london heathrow
8,51,Seat Comfort & Legroom,seat service business class economy cabin crew plane
6,48,Cabin Crew & Staff Behaviour,meal london crew old cabin food club staff
7,31,Flight Delays & Punctuality,seat economy pay london hour time premium sit
4,23,Flight Delays & Punctuality,bag hour dublin food boarding delay passenger staff
9,23,Baggage & Luggage,check minute bag departure arrive queue crew heathrow
1,16,Flight Delays & Punctuality,luggage hand hand luggage hour passenger check small london
